persistence_factor,tp,fn,fp,tn,recall,fpr,precision,f1
0.15,308,280,86,9980,0.5238095238095238,0.00854361215974568,0.7817258883248731,0.6272912423625255
0.175,308,280,87,9979,0.5238095238095238,0.008642956487184581,0.779746835443038,0.6266531027466938
0.2,359,229,95,9971,0.6105442176870748,0.009437711106695808,0.7907488986784141,0.6890595009596929
0.225,366,222,95,9971,0.6224489795918368,0.009437711106695808,0.7939262472885033,0.697807435653003
0.25,382,206,97,9969,0.6496598639455783,0.009636399761573614,0.7974947807933194,0.7160262417994376
0.275,388,200,98,9968,0.6598639455782312,0.009735744089012517,0.7983539094650206,0.7225325884543761
0.3,438,150,106,9960,0.7448979591836735,0.010530498708523744,0.8051470588235294,0.773851590106007
0.325,438,150,108,9958,0.7448979591836735,0.01072918736340155,0.8021978021978022,0.7724867724867726
0.35,444,144,109,9957,0.7551020408163265,0.010828531690840453,0.8028933092224232,0.7782646801051709
0.375,455,133,112,9954,0.7738095238095238,0.011126564673157162,0.8024691358024691,0.787878787878788
0.4,528,60,120,9946,0.8979591836734694,0.01192131929266839,0.8148148148148148,0.8543689320388349
0.425,528,60,120,9946,0.8979591836734694,0.01192131929266839,0.8148148148148148,0.8543689320388349
0.45,534,54,121,9945,0.9081632653061225,0.012020663620107291,0.815267175572519,0.8592115848753016
0.475,534,54,122,9944,0.9081632653061225,0.012120007947546195,0.8140243902439024,0.8585209003215434
0.5,540,48,129,9937,0.9183673469387755,0.012815418239618518,0.8071748878923767,0.8591885441527447
0.525,540,48,129,9937,0.9183673469387755,0.012815418239618518,0.8071748878923767,0.8591885441527447
0.55,549,39,131,9935,0.9336734693877551,0.013014106894496323,0.8073529411764706,0.8659305993690852
0.575,549,39,131,9935,0.9336734693877551,0.013014106894496323,0.8073529411764706,0.8659305993690852
0.6,564,24,152,9914,0.9591836734693877,0.015100337770713292,0.7877094972067039,0.8650306748466259
0.625,564,24,152,9914,0.9591836734693877,0.015100337770713292,0.7877094972067039,0.8650306748466259
0.65,564,24,152,9914,0.9591836734693877,0.015100337770713292,0.7877094972067039,0.8650306748466259
